

New Jersey Devils:
Mark Giordano 5 D
Milan Lucic 17 LW
Mikael Backlund 11 C
Travis Hamonic 24 D
Michael Stone 26 D
TJ Brodie 7 D
Zac Rinaldo 36 C
Cam Talbot 39 G
Derek Forbort 20 D
Johnny Gaudreau 13 LW
Tobias Rieder 16 C
Mark Jankowski 77 C
Erik Gustafsson 56 D
Elias Lindholm 28 C
Sean Monahan 23 C
Sam Bennett 93 C
Andrew Mangiapane 88 LW
Noah Hanifin 55 D
Rasmus Andersson 4 D
Oliver Kylington 58 D
Derek Ryan 10 C
Matthew Tkachuk 19 LW
Dillon Dube 29 C
David Rittich 33 G

Colorado Avalanche:
Colin Wilson 22 C
Matt Calvert 11 LW
Nazem Kadri 91 C
Philipp Grubauer 31 G
Mikko Rantanen 96 RW
Erik Johnson 6 D
Ian Cole 28 D
Michael Hutchinson 35 G
Mark Barberio 44 D
Kevin Connauton 7 D
Joonas Donskoi 72 RW
Matt Nieto 83 LW
Gabriel Landeskog 92 LW
Vladislav Namestnikov 90 C
Ryan Graves 27 D
Andre Burakovsky 95 LW
J.T. Compher 37 LW
Nathan MacKinnon 29 C
Valeri Nichushkin 13 RW
Nikita Zadorov 16 D
Pierre-Edouard Bellemare 41 C
Vladislav Kamenev 81 C
Tyson Jost 17 C
Samuel Girard 49 D
Cale Makar 8 D
Pavel Francouz 39 G

Edmonton Oilers:
Joakim Nygard 10 LW
Mike Smith 41 G
Mike Green 27 D
James Neal 18 LW
Kris Russell 4 D
Tyler Ennis 63 C
Mikko Koskinen 19 G
Alex Chiasson 39 RW
Zack Kassian 44 RW
Riley Sheahan 23 C
Josh Archibald 15 RW
Ryan Nugent-Hopkins 93 C
Adam Larsson 6 D
Oscar Klefbom 77 D
Jujhar Khaira 16 LW
Andreas Athanasiou 28 LW
Matt Benning 83 D
Darnell Nurse 25 D
Leon Draisaitl 29 C
Connor McDavid 97 C
Ethan Bear 74 D
Caleb Jones 82 D
Patrick Russell 52 RW
Kailer Yamamoto 56 RW
Gaetan Haas 91 C

Vancouver Canucks:
Jacob Markstrom 25 G
Micheal Ferland 79 LW
Josh Leivo 17 LW
Guillaume Brisebois 56 D
Loui Eriksson 21 LW
Alexander Edler 23 D
Brandon Sutter 20 C
Jay Beagle 83 C
Tyler Myers 57 D
Jordie Benn 4 D
Antoine Roussel 26 LW
Christopher Tanev 8 D
Tyler Toffoli 73 RW
Louis Domingue 30 G
J.T. Miller 9 C
Tanner Pearson 70 LW
Tyler Motte 64 C
Bo Horvat 53 C
Jake Virtanen 18 RW
Thatcher Demko 35 G
Brock Boeser 6 RW
Adam Gaudette 88 C
Troy Stecher 51 D
Zack MacEwen 71 C
Elias Pettersson 40 C
Oscar Fantenberg 5 D
Quinn Hughes 43 D

Anaheim Ducks:
Erik Gudbranson 6 D
Ryan Miller 30 G
Ryan Getzlaf 15 C
David Backes 21 RW
Michael Del Zotto 44 D
Adam Henrique 14 C
Jakob Silfverberg 33 RW
Nicolas Deslauriers 20 LW
Andrew Agozzino 26 LW
Matt Irwin 52 D
Cam Fowler 4 D
Josh Manson 42 D
John Gibson 36 G
Rickard Rakell 67 LW
Hampus Lindholm 47 D
Christian Djoos 29 D
Carter Rowney 24 C
Sonny Milano 22 LW
Danton Heinen 43 LW
Jacob Larsson 32 D
Sam Steel 34 C
Max Jones 49 LW

Dallas Stars:
Martin Hanzal 40 C
Joel Kiviranta 25 LW
Corey Perry 10 RW
Joe Pavelski 16 C
Alexander Radulov 47 RW
Blake Comeau 15 LW
Andrej Sekera 5 D
Roman Polak 45 D
Anton Khudobin 35 G
Andrew Cogliano 11 C
Ben Bishop 30 G
Jamie Benn 14 LW
Justin Dowling 37 C
Stephen Johns 28 D
Tyler Seguin 91 C
John Klingberg 3 D
Taylor Fedun 42 D
Jamie Oleksiak 2 D
Radek Faksa 12 C
Esa Lindell 23 D
Mattias Janmark 13 C
Jason Dickinson 18 C
Roope Hintz 24 LW
Denis Gurianov 34 RW
Miro Heiskanen 4 D

Los Angeles Kings:
Jeff Carter 77 C
Dustin Brown 23 RW
Anze Kopitar 11 C
Jonathan Quick 32 G
Trevor Lewis 22 C
Drew Doughty 8 D
Martin Frk 29 RW
Nikolai Prokhorkin 74 LW
Ben Hutton 15 D
Joakim Ryan 6 D
Kurtis MacDermid 56 D
Calvin Petersen 40 G
Adrian Kempe 9 C
Michael Amadio 10 C
Austin Wagner 51 LW
Matt Roy 3 D
Trevor Moore 12 C
Mikey Anderson 44 D
Gabriel Vilardi 42 C
Alex Iafallo 19 LW
Sean Walker 26 D
Blake Lizotte 46 C

San Jose Sharks:
Erik Karlsson 65 D
Dalton Prout 5 D
Tomas Hertl 48 C
Joe Thornton 19 C
Brent Burns 88 D
Marc-Edouard Vlasic 44 D
Logan Couture 39 C
Martin Jones 31 G
Evander Kane 9 LW
Marcus Sorensen 20 LW
Tim Heed 72 D
Brandon Davidson 21 D
Stefan Noesen 11 RW
Aaron Dell 30 G
Melker Karlsson 68 C
Kevin Labanc 62 RW
Jacob Middleton 67 D
Timo Meier 28 RW
Noah Gregor 73 C
Dylan Gambrell 7 C
Mario Ferraro 38 D
Radim Simek 51 D
Alexander True 70 C
Antti Suomela 40 C
Joel Kellman 46 C
Lean Bergmann 45 C

Columbus Blue Jackets:
Brandon Dubinsky 17 C
Josh Anderson 77 RW
Seth Jones 3 D
Dean Kukan 46 D
Alexandre Texier 42 C
Nathan Gerbe 24 C
Nick Foligno 71 LW
Riley Nash 20 C
Gustav Nyquist 14 C
Cam Atkinson 13 RW
David Savard 58 D
Boone Jenner 38 C
Scott Harrington 4 D
Ryan Murray 27 D
Stefan Matteau 23 C
Devin Shore 74 C
Joonas Korpisalo 70 G
Oliver Bjorkstrand 28 RW
Alexander Wennberg 10 C
Ryan MacInnis 49 C
Elvis Merzlikins 90 G
Zach Werenski 8 D
Gabriel Carlsson 53 D
Kevin Stenlund 11 C
Vladislav Gavrikov 44 D
Markus Nutivaara 65 D
Andrew Peeke 2 D
Pierre-Luc Dubois 18 C
Emil Bemstrom 52 C
Eric Robinson 50 LW
Jakob Lilja 15 LW

Minnesota Wild:
Carson Soucy 21 D
Mikko Koivu 9 C
Eric Staal 12 C
Ryan Suter 20 D
Zach Parise 11 LW
Devan Dubnyk 40 G
Alex Stalock 32 G
Greg Pateryn 29 D
Jared Spurgeon 46 D
Marcus Foligno 17 LW
Mats Zuccarello 36 RW
Victor Rask 49 C
Jonas Brodin 25 D
Brad Hunt 77 D
Alex Galchenyuk 27 C
Matt Dumba 24 D
Ryan Hartman 38 RW
Kevin Fiala 22 LW
Ryan Donato 6 C
Jordan Greenway 18 LW
Joel Eriksson Ek 14 C
Luke Kunin 19 C

Winnipeg Jets:
Bryan Little 18 C
Luca Sbisa 5 D
Blake Wheeler 26 RW
Mathieu Perreault 85 LW
Mark Letestu 22 C
Dmitry Kulikov 7 D
Cody Eakin 20 C
Gabriel Bourque 57 LW
Anthony Bitetto 2 D
Laurent Brossoit 30 G
Dylan DeMelo 12 D
Adam Lowry 17 C
Logan Shaw 38 RW
Nicholas Shore 21 C
Mark Scheifele 55 C
Nathan Beaulieu 88 D
Connor Hellebuyck 37 G
Tucker Poolman 3 D
Andrew Copp 9 C
Carl Dahlstrom 23 D
Josh Morrissey 44 D
Nikolaj Ehlers 27 LW
Kyle Connor 81 LW
Jansen Harkins 58 C
Jack Roslovic 28 C
Mason Appleton 82 C
Sami Niku 8 D
Patrik Laine 29 RW
Neal Pionk 4 D

Arizona Coyotes:
Jakob Chychrun 6 D
Brad Richardson 15 C
Carl Soderberg 34 C
Alex Goligoski 33 D
Niklas Hjalmarsson 4 D
Michael Grabner 40 LW
Phil Kessel 81 RW
Jason Demers 55 D
Derek Stepan 21 C
Oliver Ekman-Larsson 23 D
Darcy Kuemper 35 G
Taylor Hall 91 LW
Vinnie Hinostroza 13 RW
Antti Raanta 32 G
Jordan Oesterle 82 D
Nick Schmaltz 8 C
Christian Dvorak 18 C
Christian Fischer 36 RW
Lawson Crouse 67 LW
Conor Garland 83 RW
Clayton Keller 9 RW
Barrett Hayton 29 C
Ilya Lyubushkin 46 D

Vegas Golden Knights:
Alex Tuch 89 RW
Brandon Pirri 73 C
Deryk Engelland 5 D
Marc-Andre Fleury 29 G
Paul Stastny 26 C
Ryan Reaves 75 RW
Max Pacioretty 67 LW
Alec Martinez 23 D
Nick Holden 22 D
Brayden McNabb 3 D
Reilly Smith 19 RW
Robin Lehner 90 G
Jon Merrill 15 D
Mark Stone 61 RW
Nick Cousins 21 C
William Karlsson 71 C
Jonathan Marchessault 81 C
Chandler Stephenson 20 C
Nate Schmidt 88 D
Shea Theodore 27 D
William Carrier 28 LW
Tomas Nosek 92 LW
Nicolas Roy 10 C
Zach Whitecloud 2 D
